material,codec,texture,mse,psnr_db,ssim
material_03,bc,normal,0.0008677720910540638,30.615943215911404,0.8717043333506873
material_03,bc,roughness,0.0003860058220594495,34.134061448898414,0.9364777879073287
material_03,bc,metallic,2.87355726712835e-08,75.41580143388467,0.9999102867926103
material_03,astc,diffuse,0.0003355110099684595,34.7429322366163,0.9398614589018429
material_03,astc,normal,0.00047177151793912985,33.26268282134726,0.9150311158056134
material_03,astc,roughness,0.00022695500423357536,36.440602368600274,0.9522051435841714
material_03,astc,metallic,1.2022105652246195e-05,49.20019459699135,0.9016830688102073
material_04,ntc,diffuse,1.9133360466825525e-05,47.182087464374945,0.9938792660227248
material_04,ntc,normal,1.8898752812935326e-05,47.2356685531523,0.9962878564340203
material_04,ntc,roughness,4.44823567339009e-06,53.51812211322259,0.9978812069555355
material_04,ntc,metallic,1.8775763232605678e-07,67.26402399944465,0.9997541039512519
material_04,bc,diffuse,0.0003523183965115539,34.530646792857965,0.9178633969615865
material_04,bc,normal,0.03361629591227705,14.734501419816905,0.82905366537181
material_04,bc,roughness,3.291102134338421e-06,54.82658639829201,0.997663678294417
material_04,bc,metallic,3.2958220614856334e-06,54.82036243516472,0.9868531154771755
material_04,astc,diffuse,0.00017795443945107787,37.49691173127647,0.9422207903836052
material_04,astc,normal,0.03370115747134952,14.723551829628576,0.8178750848501463
material_04,astc,roughness,4.74996484482487e-06,53.233096046393584,0.9966914184141967
material_04,astc,metallic,1.4636676881174893e-05,48.34557514533766,0.9021087516185186
material_05,ntc,diffuse,3.897464662795915e-05,44.09217813745872,0.9923704780341754
material_05,ntc,normal,5.663503567344149e-06,52.46914821598634,0.9967996668603182
material_05,ntc,roughness,3.584331409177471e-05,44.45591842055968,0.993312568935536
material_05,ntc,metallic,2.097276987754966e-09,86.78344208395148,0.9999973522842679
material_05,bc,diffuse,0.0016397108236732702,27.852327365599542,0.7027438691393874
material_05,bc,normal,8.203920479937152e-05,40.85978557871183,0.9710464661462556
material_05,bc,roughness,0.0011344181766693028,29.4522682344809,0.8083745406194079
material_05,bc,metallic,2.1726294420806574e-08,76.63014339479209,0.999937545094337
material_05,astc,diffuse,0.0005484405328657082,32.608704558712034,0.8768500935409315
material_05,astc,normal,8.085788358508456e-05,40.92277630295793,0.9646445682641964
material_05,astc,roughness,0.00047465427012595613,33.23622607735247,0.9022127605488985
material_05,astc,metallic,1.5280350288699044e-05,48.15866689824115,0.8692778613745733
material_06,ntc,diffuse,4.085552381030252e-05,43.887492170225755,0.9927043070731677
material_06,ntc,normal,1.5293499617601726e-05,48.15493123436318,0.9967489984533544
material_06,ntc,roughness,3.401674117113375e-05,44.68307294461983,0.9925017890411212
material_06,ntc,metallic,3.2265801178043185e-10,94.91257546646014,0.9999996009114841
material_06,bc,diffuse,0.0017357445849372113,27.60514180952905,0.7123600050576108
material_06,bc,normal,0.0011826764332259342,29.271340571349874,0.9400546192502119
material_06,bc,roughness,0.00043881413799067893,33.57719388498366,0.8260953206420235
material_06,bc,metallic,5.382502294910966e-09,82.69015776336438,0.9999865742726681
material_06,astc,diffuse,0.0005781183563186137,32.37983240759261,0.8854290048991379
material_06,astc,normal,0.000192741915416033,37.15023829431822,0.9797529430158183
material_06,astc,roughness,0.0002468470214741781,36.07572108732612,0.9014315649806494
material_06,astc,metallic,1.517146787529125e-05,48.189723981652286,0.8693249056856337
material_07,ntc,diffuse,1.82839629899727e-05,47.37929666471905,0.9944755455136635
material_07,ntc,normal,2.973844166828424e-05,45.26681792794453,0.992990413347488
material_07,ntc,roughness,2.4581533923765542e-05,46.09391019991409,0.9937313746695069
material_07,ntc,metallic,2.433134740353389e-08,76.13833840361545,0.9999690681267333
material_07,bc,diffuse,0.0007433515050223974,31.28805774943485,0.8031818513969561
material_07,bc,normal,0.0017187055164875036,27.64798529083999,0.6766411915838861
material_07,bc,roughness,0.0004943813766439498,33.059378974926695,0.8343229973605542
material_07,bc,metallic,5.622996417770756e-07,62.50032193165484,0.9980272562071271
material_07,astc,diffuse,0.0003641886704858971,34.38673568760731,0.8863041405459041
material_07,astc,normal,0.0011069269241174655,29.55881048949726,0.7611226029924906
material_07,astc,roughness,0.00031324600978631893,35.04114452460933,0.8951178275312125
material_07,astc,metallic,1.598953793683305e-05,47.96164086246458,0.8635848270404675
material_08,ntc,diffuse,3.545669103452979e-05,44.50301797006361,0.99040157078311
material_08,ntc,normal,2.9260788228579345e-05,45.337139790066175,0.9937110086862081
material_08,ntc,roughness,7.309214333563363e-06,51.3612930278711,0.9957957389526622
material_08,ntc,metallic,3.3145777722629314e-09,84.79571786370882,0.9999955173853786
material_08,bc,diffuse,0.0007467870982443887,31.268031936818097,0.8108421130984049
material_08,bc,normal,0.0017048060822834798,27.6832501384674,0.8485390038773671
material_08,bc,roughness,9.43906574992982e-05,40.25070988724068,0.9533623818462731
material_08,bc,metallic,2.4710813773803712e-08,76.07112952224264,0.9999298092270833
material_08,astc,diffuse,0.00032644423513840105,34.86190996441316,0.8965466293803256
material_08,astc,normal,0.0005455431738061849,32.631708740328634,0.8958493150472843
material_08,astc,roughness,6.065595278102341e-05,42.17126571003716,0.963928785247684
material_08,astc,metallic,1.5016005376961761e-05,48.23445584873631,0.8719104061690944
material_09,ntc,diffuse,2.6459142536253645e-05,45.774242341397304,0.9943083542608733
material_09,ntc,normal,1.62021372038385e-05,47.904276944318255,0.9939641065007682
material_09,ntc,roughness,8.414787043205959e-06,50.74956870434541,0.995668698660639
material_09,ntc,metallic,3.9158948641029204e-09,84.07168976867085,0.9999950370686504
material_09,bc,diffuse,0.0013481332383088,28.70267183614672,0.7625239623124682
